,city,latitude,temp,humidity,Wind_Speed,Cloudiness,longitude
112,saint george,39.45,59.0,44,17.22,75,22.34
113,jardim,-21.48,70.05,89,6.53,24,-56.15
114,cidreira,-30.17,67.26,98,3.51,80,-50.22
115,namatanai,-3.66,84.81,94,14.25,0,152.44
116,ketchikan,55.34,55.0,93,6.93,90,-131.65
117,san quintin,17.54,87.8,70,11.41,20,120.52
118,albany,42.65,58.53,74,4.7,40,-73.75
119,nagtipunan,16.22,83.01,86,2.62,24,121.6
120,kenai,60.55,47.91,77,9.22,1,-151.26
121,lompoc,34.64,56.41,93,4.97,90,-120.46
122,tual,-5.67,81.93,96,14.92,12,132.75
123,severo-kurilsk,50.68,50.34,86,14.92,0,156.12
124,river falls,44.86,52.29,62,10.29,1,-92.63
125,havelock,34.88,77.79,97,8.05,1,-76.9
126,coruche,38.96,70.84,83,6.93,0,-8.53
127,salalah,17.01,77.0,73,5.82,40,54.1
128,qaqortoq,60.72,39.2,55,2.24,92,-46.03
129,dali,25.6,70.59,78,2.39,64,100.24
130,chuy,-33.69,59.97,97,20.18,92,-53.46
131,cap malheureux,-19.98,75.2,64,12.75,40,57.61
132,los llanos de aridane,28.66,71.6,88,8.05,8,-17.92
133,fortuna,38.18,72.5,73,9.17,20,-1.13
134,yar-sale,66.83,49.98,90,21.97,88,70.83
135,emba,34.81,68.0,72,2.24,20,32.42
136,zolotkovo,55.53,38.64,100,27.89,92,41.1
137,calama,-22.46,46.4,10,17.22,0,-68.93
138,killam,52.79,47.19,54,12.24,68,-111.86
139,new norfolk,-42.78,68.0,32,19.46,0,147.06
140,morgan city,29.7,75.58,98,5.86,1,-91.21
141,berlevag,70.86,41.0,86,27.51,75,29.09
142,gat,14.69,77.88,96,10.45,8,-16.54
143,saint-augustin,44.83,57.0,67,8.05,0,-0.61
144,lismore,-28.81,69.69,66,5.75,32,153.28
145,torbay,47.66,48.2,87,16.11,90,-52.73
146,lamar,38.09,59.0,6,16.11,1,-102.62
147,hithadhoo,-0.6,81.84,100,15.59,64,73.08
148,awbari,26.59,69.96,61,7.2,32,12.77
149,gorlice,49.66,50.79,58,7.87,92,21.16
150,norman wells,65.28,30.2,86,3.36,40,-126.83
151,praia,-20.25,69.8,52,5.82,0,-43.81
152,faya,18.39,66.2,32,3.96,0,42.45
153,mildura,-34.18,75.54,33,11.79,0,142.16
154,sangar,63.92,47.91,64,3.51,88,127.47
155,kodiak,39.95,44.06,88,9.78,1,-94.76
156,alofi,-19.06,77.0,69,12.75,68,-169.92
157,padilla,3.23,75.2,69,6.93,75,-76.31
158,bellavista,10.27,78.15,100,5.86,36,-74.82
159,lorengau,-2.02,84.54,100,3.18,0,147.27
160,la ronge,55.1,35.6,93,4.7,75,-105.3
161,carauari,-4.88,80.4,86,2.39,12,-66.9
162,puerto escondido,15.86,81.75,100,3.4,36,-97.07
163,mola di bari,41.06,57.43,45,10.29,20,17.09
164,ballina,54.11,53.85,100,12.91,92,-9.15
165,tilichiki,60.47,39.09,90,13.8,80,166.1
166,axim,4.87,77.88,100,9.1,92,-2.24
167,kavaratti,10.57,83.55,100,8.99,8,72.64
168,hofn,64.25,39.63,100,5.75,0,-15.21
169,madera,36.96,78.04,34,4.7,1,-120.06
170,oranjemund,-28.55,56.19,97,9.44,0,16.43
171,beringovskiy,63.05,45.39,96,23.64,92,179.32
172,kahului,20.89,80.78,94,10.29,40,-156.47
173,chumikan,54.72,61.14,57,9.66,0,135.31
174,sartana,47.17,47.55,63,4.41,8,37.7
175,airai,-8.93,85.89,36,1.61,24,125.41
176,tuktoyaktuk,69.44,30.2,80,23.04,75,-133.03
177,tigil,57.8,48.09,62,9.66,88,158.67
178,chokurdakh,70.62,36.93,97,14.58,80,147.9
179,cacoal,-11.43,75.36,85,2.17,12,-61.44
180,talakan,50.29,64.65,41,3.85,0,130.28
181,kedrovyy,56.17,46.4,93,3.85,75,91.82
182,vila,45.18,45.54,93,5.82,0,8.4
183,sokoto,13.06,73.47,84,4.85,0,5.24
184,high level,58.52,30.2,86,2.24,40,-117.13
185,khasan,42.43,65.1,88,3.96,24,130.64
186,bathsheba,13.22,80.6,83,14.99,75,-59.52
187,cherskiy,68.75,39.81,72,5.19,48,161.3
188,tain,57.81,57.31,93,21.92,40,-4.06
189,bethel,60.79,51.08,68,11.41,40,-161.76
190,mehamn,71.03,41.0,86,27.51,75,27.85
191,viking,53.1,45.12,58,11.68,36,-111.78
192,garowe,8.41,85.44,50,10.67,0,48.48
193,aksarka,66.56,49.44,90,17.05,0,67.8
194,amot,59.57,40.08,88,4.41,76,7.99
195,pangody,65.85,55.38,68,17.83,80,74.49
196,tasiilaq,65.61,35.6,69,2.24,64,-37.64
197,thompson,55.74,35.6,80,4.7,75,-97.86
198,harper,30.3,63.25,79,8.05,90,-99.24
199,yulara,-25.24,91.4,6,9.17,0,130.99
200,bambous virieux,-20.34,75.2,64,12.75,40,57.76
201,bowen,-20.01,82.4,48,14.99,0,148.25
202,san mateo del mar,16.21,80.94,100,10.67,64,-94.98
203,hokitika,-42.72,51.69,94,5.41,32,170.96
204,mumford,5.26,74.37,95,4.63,92,-0.76
205,tautira,-17.73,77.0,61,4.7,20,-149.15
206,narsaq,60.91,39.2,55,2.24,92,-46.05
207,sambava,-14.27,74.64,100,16.6,76,50.17
208,bykovo,49.76,53.04,67,8.43,0,45.39
209,isangel,-19.55,69.87,100,23.87,92,169.27
210,riyadh,24.63,80.6,15,4.07,0,46.72
211,victoria,5.28,89.62,74,3.36,75,115.24
212,staryy nadym,65.61,55.83,67,16.49,48,72.68
213,blythe,33.61,93.92,21,11.41,1,-114.59
214,maldonado,-34.91,57.2,87,8.05,0,-54.96
215,lugovoy,59.72,56.1,95,7.09,92,65.88
216,wanaka,-44.7,44.67,52,1.83,80,169.14
217,klaksvik,62.23,42.8,93,11.41,92,-6.59
218,puerto colombia,10.99,80.6,94,3.36,40,-74.96
219,ozernovskiy,51.5,48.36,85,13.69,92,156.52
220,pacific grove,36.62,56.12,87,1.39,1,-121.92
221,rabo de peixe,37.8,73.4,88,17.22,40,-25.58
222,port-gentil,-0.72,76.89,98,8.43,20,8.78
223,zhoucheng,31.35,79.41,67,7.99,56,119.33
224,padang,-0.92,82.2,100,3.4,24,100.36
225,benemerito de las americas,16.52,69.87,98,2.28,64,-90.64
226,samarai,-10.62,77.79,100,16.93,48,150.67
227,ola,59.58,60.8,55,11.18,20,151.3
228,saskylakh,71.97,32.79,88,13.02,0,114.09
229,izazi,-7.24,72.66,64,3.62,0,35.72
230,mata,22.63,75.2,94,11.79,40,-79.93
231,camacha,33.08,68.77,73,9.17,40,-16.33
232,kota kinabalu,5.98,89.6,70,5.82,75,116.07
233,smithville,39.39,48.81,65,5.82,1,-94.58
234,aklavik,68.22,24.8,85,5.82,20,-135.01
235,calvinia,-31.47,43.77,80,2.73,0,19.78
236,corumba,-19.0,74.64,78,3.18,8,-57.65
237,erenhot,43.65,58.35,39,23.76,80,111.97
238,cabedelo,-6.97,73.4,94,4.7,40,-34.84
239,bonavista,48.65,55.11,85,26.22,36,-53.11
240,ilulissat,69.22,33.8,55,16.11,68,-51.1
241,nkhotakota,-12.93,77.34,67,3.51,0,34.3
242,mahebourg,-20.41,75.2,64,12.75,40,57.7
243,bang saphan,11.21,89.6,62,6.93,75,99.51
244,waipawa,-39.94,47.73,83,4.29,88,176.59
245,khash,28.22,79.23,20,7.09,0,61.21
246,barra patuca,15.8,83.01,93,7.76,100,-84.28
247,kruisfontein,-34.0,60.87,74,6.64,0,24.73
248,singkang,2.1,89.6,66,4.7,75,102.8
249,caravelas,-17.73,76.71,100,13.47,80,-39.27
250,presidente epitacio,-21.76,69.24,95,4.63,0,-52.12
251,charleville,-26.41,87.8,8,12.75,0,146.24
252,maniitsoq,65.42,36.21,99,22.86,92,-52.9
253,santa maria,-29.69,63.57,97,2.95,56,-53.81
254,pedro velho,-6.44,75.2,78,9.17,40,-35.22
255,bubaque,11.28,81.03,100,17.27,48,-15.83
256,twentynine palms,34.14,86.07,21,2.73,1,-116.05
257,christchurch,-43.53,55.4,35,6.93,0,172.64
258,mana,43.52,30.29,100,1.12,0,20.24
259,half moon bay,37.46,61.9,100,2.62,90,-122.43
260,lichtenburg,-26.15,69.69,30,13.91,36,26.16
261,tomatlan,19.93,74.46,93,2.62,64,-105.25
262,pozega,43.85,30.13,75,3.29,0,20.05
263,wewak,-3.55,87.06,63,5.19,8,143.63
264,toktogul,41.87,57.81,37,2.17,44,72.95
265,virginia beach,36.85,76.42,98,6.64,1,-75.98
266,sao filipe,14.9,77.97,98,5.41,56,-24.5
267,fez,34.03,68.0,68,11.41,0,-5.02
268,norwich,52.63,51.53,93,4.7,0,1.29
269,polunochnoye,60.87,52.59,65,8.32,68,60.43
270,rostock,54.09,59.0,93,10.29,75,12.13
271,kalianget,-7.74,88.14,62,3.85,0,113.68
272,montes claros,-16.73,66.72,73,9.78,0,-43.87
273,richards bay,-28.77,68.7,85,4.63,36,32.06
274,sola,62.78,41.0,93,12.75,75,29.36
275,kathu,-27.7,64.47,19,7.31,0,23.05
276,pachino,36.72,70.59,100,31.36,24,15.09
277,nome,30.04,74.35,93,3.62,75,-94.42
278,altos,-5.04,80.6,69,8.05,0,-42.46
279,belaya gora,68.54,34.77,88,11.45,88,146.19
280,sinnamary,5.38,81.39,97,14.7,0,-52.96
281,rocha,-34.48,57.18,96,14.58,92,-54.34
282,saint-pierre,48.95,43.79,93,3.36,0,4.24
283,sitka,37.17,48.09,68,8.66,0,-99.65
284,tabuk,17.41,77.07,91,0.16,32,121.44
285,tessalit,20.2,74.73,25,3.29,68,1.01
286,monkey bay,-14.08,77.79,95,7.09,0,34.91
287,kamenka,53.19,40.26,76,18.84,88,44.05
288,quatre cocos,-20.21,75.2,64,12.75,40,57.76
289,malindi,-3.22,73.74,100,12.91,92,40.12
290,shingu,33.72,69.8,77,3.36,75,135.99
291,anito,12.45,86.25,89,21.3,76,125.29
292,general pico,-35.66,53.94,63,12.35,68,-63.75
293,turukhansk,65.8,47.73,95,15.7,100,87.96
294,ancud,-41.87,45.03,97,7.76,92,-73.83
295,honiara,-9.43,87.8,66,5.82,40,159.96
296,oktyabrskiy,55.61,42.8,87,17.9,75,37.97
297,mosquera,4.71,53.6,93,2.24,75,-74.23
298,gravdal,59.79,48.2,93,5.82,75,5.78
299,coquimbo,-29.95,55.4,87,3.36,90,-71.34
300,watsa,3.04,73.2,93,4.18,32,29.53
301,constitucion,23.99,62.31,48,8.32,24,-104.67
302,verkhoyansk,67.55,33.24,79,4.41,44,133.39
303,ardatov,55.24,38.64,98,21.97,92,43.1
304,moussoro,13.64,75.99,78,2.84,48,16.49
305,havoysund,71.0,37.4,97,33.33,75,24.66
306,chara,39.42,59.0,44,17.22,75,22.43
307,altamont,49.4,46.4,100,13.69,0,-98.5
308,boyuibe,-20.43,73.56,78,11.45,8,-63.28
309,boca do acre,-8.76,78.69,86,2.51,8,-67.39
310,flinders,-34.58,69.8,46,14.99,0,150.85
311,koutiala,12.39,72.21,90,6.2,32,-5.46
312,goure,13.98,71.76,62,3.51,0,10.27
313,port lincoln,-34.72,58.71,91,13.02,92,135.86
314,rawson,-43.3,41.97,72,10.0,88,-65.11
315,paraiso,24.01,62.31,48,8.32,24,-104.61
316,kochevo,42.1,35.6,80,4.7,0,24.92
317,bayir,37.27,68.0,42,8.05,40,28.22
318,chemainus,48.92,54.91,93,8.77,1,-123.72
319,damietta,31.42,75.2,83,6.93,0,31.81
320,colares,38.8,70.84,83,6.93,0,-9.45
321,karratha,-20.74,102.09,8,8.43,0,116.85
322,port blair,11.67,82.83,100,8.66,32,92.75
323,ruwi,23.6,86.0,84,5.82,0,58.55
324,bonthe,7.53,71.67,100,2.17,92,-12.5
325,kambia,9.13,73.47,100,4.97,80,-12.92
326,havre-saint-pierre,50.23,55.4,100,16.11,90,-63.6
327,rehoboth,-23.31,51.69,80,2.17,0,17.08
328,esmeraldas,-19.76,68.45,63,5.82,0,-44.31
329,springdale,36.19,55.49,93,3.36,40,-94.13
330,kununurra,-15.77,95.0,28,4.7,75,128.74
331,winnemucca,40.97,48.02,12,6.93,1,-117.74
332,beira,43.2,62.6,88,5.82,0,-8.36
